"V1","V2"
0.992547131354282,0.00745286864571853
0.533140145521662,0.466859854478338
0.995428947304628,0.00457105269537171
0.00396435288204114,0.996035647117959
0.000932409370009383,0.999067590629991
0.793286588427819,0.206713411572181
0.180180525974135,0.819819474025866
0.989909961231874,0.0100900387681261
0.0523319251847167,0.947668074815283
0.930223100872248,0.0697768991277521
0.00192423364592042,0.998075766354079
0.0229776691188447,0.977022330881155
0.930223100872248,0.0697768991277521
0.000366568401936829,0.999633431598063
0.959984781405779,0.0400152185942213
0.0685745576489295,0.93142544235107
0.00416153102610235,0.995838468973898
0.930223100872248,0.0697768991277521
0.00111509600169367,0.998884903998306
0.138779769130462,0.861220230869538
0.24664512250405,0.75335487749595
0.544299181022774,0.455700818977226
0.00293022355123971,0.99706977644876
0.84484633881591,0.15515366118409
0.00437798034154817,0.995622019658452
0.931201276863542,0.0687987231364581
0.000108445040480514,0.999891554959519
0.00187435450222595,0.998125645497774
0.0209240948711644,0.979075905128835
0.992667737275664,0.00733226272433578
0.0723191245995353,0.927680875400465
0.233938870778008,0.766061129221993
0.00110135842524124,0.998898641574759
0.956519088172382,0.0434809118276176
0.00437798034154817,0.995622019658452
0.816141362637101,0.183858637362899
0.959984781405779,0.0400152185942213
0.959984781405779,0.0400152185942213
0.0105981609710605,0.989401839028939
0.166408086425281,0.833591913574719
0.995428947304628,0.00457105269537171
0.000143758077761992,0.999856241922238
0.0313610245412986,0.968638975458701
0.368437825590265,0.631562174409735
0.930223100872248,0.0697768991277521
0.00705704563033965,0.99294295436966
0.99559619736565,0.00440380263435021
0.0162288041050564,0.983771195894944
0.001571579674383,0.998428420325617
0.00705704563033965,0.99294295436966
